,prices,location,furnished,owner,link,title,area,type,dates,text,bathrooms,text1,co-ordinate,depo
69,"8,500","Hadapsar,",,Building:  Amat preet  Broker:  Malhar Properties ,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,1 BHK Flat for Rent at Amat preet in Hadapsar,675 Sq Feet,,2020-07-10,1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948","25,000"
70,"7,000","Pimpri,",,Broker:  Vision Associates ,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-in-pimpri-pune-100755674-ad,1 RK Residential Apartment for Rent in Pimpri,400 Sq Feet,,2019-06-29,1 Car Parking Ground Floor (of 1 Floors) UnFurnished Family/Bachelor,,Corporation water Drainage Facility 24*7 Power Backup,"18.6297811,73.7997094","50,000"
71,"5,600",Benkar,,Broker:  Rama Enterprises ,https://property.sulekha.com/apartments-flats-for-rent/550-sqft-1-bhk-flat-for-rent-in-dhayari-pune-1007312148-ad,1 BHK Residential Apartment for Rent in Dhayari,550 Sq Feet,,2021-05-15,No Car Parking 3rd (of 4 Floors) UnFurnished Family Veg/Non Veg,,Corporation water ATM Visitors Parking +1 Amenities,"0,0","20,000"
72,for,"Undri,",,Building:  Eternal Exotica  Broker:  Ozone Properties ,https://property.sulekha.com/apartments-flats-for-rent/1509-sqft-3-bhk-flat-for-rent-at-eternal-exotica-in-undri-pune-1007274662-ad,3 BHK Residential Apartment for Rent at Eternal Exotica in Undri,1509 Sq Feet,,2020-03-18,1 Car Parking 4th (of 11 Floors) Fully Furnished Bachelors,,24*7 Power Backup Lifts Swimming Pool +16 Amenities,"18.4566651,73.9095279","2,000,000"
73,"15,000",Wireless,,Building:  Gyanganga  Owner:  Shrikant DALVI ,https://property.sulekha.com/apartments-flats-for-rent/900-sqft-2-bhk-flat-for-rent-at-gyanganga-in-aundh-pune-1007310695-ad,2 BHK Residential Apartment for Rent at Gyanganga in Aundh,900 Sq Feet,,2021-04-12,1 Car Parking 1st (of 5 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water Drainage Facility Lifts +10 Amenities,"18.564194,73.8040924","50,000"
74,"6,890","Hadapsar,",,Building:  swami   Broker:  Sejal Properties ,https://property.sulekha.com/apartments-flats-for-rent/420-sqft-1-rk-flat-for-rent-at-swami-in-hadapsar-pune-1007309686-ad,1 RK Residential Apartment for Rent at swami in Hadapsar,420 Sq Feet,,2021-03-25,No Car Parking 1st (of 4 Floors) Semi Furnished Family/Bachelor Veg/Non Veg,,Corporation water Drainage Facility 24*7 Power Backup +8 Amenities,"18.515806,73.927164","14,000"
75,for,"Hadapsar,",,Building:  kumar paradise  Broker:  Sejal Properties ,https://property.sulekha.com/apartments-flats-for-rent/1150-sqft-2-bhk-flat-for-rent-at-kumar-paradise-in-hadapsar-pune-1007307616-ad,2 BHK Residential Apartment for Rent at kumar paradise in Hadapsar,1150 Sq Feet,,2021-03-01,1 Car Parking 4th (of 11 Floors) UnFurnished Family/Bachelor Veg/Non Veg,,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.515806,73.927164","45,000"
76,26,Kalyani,,Building:  La Gloriosa  Broker:  Mountain Gate Properties ,https://property.sulekha.com/apartments-flats-for-rent/1050-sqft-2-bhk-apartment-for-rent-at-la-gloriosa-in-kalyani-nagar-pune-1007300241-ad,2 BHK Residential Apartment for Rent at La Gloriosa in Kalyani Nagar,1050 Sq Feet,,2020-12-11,2 Car Parking 6th (of 7 Floors) Fully Furnished Family/Bachelor Veg/Non Veg,,Drainage Facility Lifts Security +22 Amenities,"0,0","80,000"
77,"7,000",Baner,,Broker:  Life Real Estates ,https://property.sulekha.com/apartments-flats-for-rent/250-sqft-1-rk-flat-for-rent-in-baner-gaon-pune-1007308259-ad,1 RK Residential Apartment for Rent in Baner Gaon,250 Sq Feet,,2021-03-08,1 Car Parking 2nd (of 3 Floors) Semi Furnished Family/Bachelor,,Feng Shui / Vastu,"0,0","20,000"
78,"6,500",Pavana,,Broker:  Krishna estate agency ,https://property.sulekha.com/apartments-flats-for-rent/300-sqft-1-rk-flat-for-rent-in-pavana-nagar-pune-1007308438-ad,1 RK Residential Apartment for Rent in Pavana Nagar,300 Sq Feet,,2021-03-10,No Car Parking 1st (of 1 Floors) UnFurnished Bachelors Veg/Non Veg,,Corporation water,"18.6259403,73.7804315","15,000"
79,"18,000","Magarpatta,",,Broker:  Trimurti Real Estate consultant ,https://property.sulekha.com/apartments-flats-for-rent/930-sqft-2-bhk-apartment-for-rent-in-magarpatta-pune-1007306963-ad,2 BHK Residential Apartment for Rent in Magarpatta,930 Sq Feet,,2021-02-23,1 Car Parking 5th (of 11 Floors) UnFurnished Family/Bachelor,,Lifts Park Club House +2 Amenities,"0,0","50,000"
